0124	CN	brochure	opuscolo	broschyr	die Broschüre	brošura
0125	AP	broken	rotto	trasig	gebrochen	zdrobljen
0126	VP	break the eggs	rompere le uova	ha sönder äggen	brach die Eier	zdrobiti jajca
0127	CN	broom	scopa	sopborste	Besen	metla
0127	CN	pail	secchio	skyffel	Eimer	vedro
0128	CN	broom	scopa	sopborste	der Besen	metla
0129	CNH	brother	fratello	bror	der bruder	brat
0130	CNM	brown sugar	zucchero di canna	råsocker	brauner Zucker	rjavi sladkor
0131	VP	brush hair	spazzolarsi i capelli	borsta håret	Haare bürsten	krtača
0132	VP	brush tongue	spazzolare la lingua	borsta tungan	Pinselzunge	ščetka za jezik
0133	CNP	building	palazzina	byggnad	das Gebäude	stavba
0134	CNP	building	palazzo	hyreshus	der Bau	zgradba
0135	CNH	bus driver	autista di autobus	busschaufför	der Busfahrer	voznik avtobusa
0136	CN	business	affari	affärer	das Geschäft	posel
0137	CNP	bus	pullman	buss	der Bus	avtobus
0138	CNP	bus station	stazione bus	busstation	die Bushaltestelle	avtobusna postaja
0139	CN	bus timetable	orario autobus	busstidtabell	Bus Zeit	čas  prihoda avtobusa
0140	Interj	how lucky	che fortuna	vilken tur	aber*	vendar
0141	CNP	butcher's shop	macelleria	charkuteri	die Metzgerei	mesnica
0142	VP	butter a slice of bread	imburrare il pane	bre en smörgås	butter eine Scheibe Brot	maslo namazati na rezino kruha
0143	CNM	butter	burro	smör	die Butter 	maslo
0144	V2	button up	abbottonare	knäppa upp	zuknöpfen	zapni se
0145	V2	buy	comprare	köpa	kaufen	kupiti
0146	Interj	bye	ciao	hej då	tschüss	bye
0147	V2	call	chiamare	ropa	der Anruf*	klic
0148	VP	respond to telephone	rispondere al telefono	svara i telefonen	der Aufruf*	poziv
0149	CN	call	telefonata	telefonsamtal	das Gespräch	povabilo
0150	CN	camera	fotocamera	kamera	die Kamera	kamera
0151	CN	candied pie	torta con canditi	tårta med glasyr	kandierte Kuchen	kandirana pita
0152	CN	can opener	apriscatole	konservöppnare	der Dosenöffner	odpirač konzerv
0153	CNP	car	automobile	bil	der Wagen	avto
0154	CNM	care	cura	vård	die Pflege	nega
0155	CNH	carpenter	falegname	snickare	der Zimmrmann*	tesar
0156	CN	carpet	tappeto	matta	der Teppich	preproga
0157	CN	carrot	carota	morot	die Karotte	korenje
0158	CN	carton	scatola di cartone	kartong	der Karton	škatla
0159	CNM	cash	contanti	kontanter	da Bargeld*	gotovina
0160	CN	casual jacket	giacca casual	vardagsjacka	Freizeitjacke	športna jakna
0161	CNM	cat food	cibo per gatti	kattmat	Katzenfutter	hrana za mačke
0162	CN	cd player	lettore cd	cd-spelare	CD player	CD predvajalnik
0163	CN	ceiling	soffitto	tak	die Decke	strop
0164	CN	cellular	cellulare	mobil	zellular	celični
0165	CN	certificate	diploma	intyg	das Zertifikat	potrdilo
0166	CN	chair	sedia	stol	der Stuhl	stol
0167	CNH	champion	campione	champion	der Champion	prvak
0168	VP	change	cambiarsi d'abito	byta kläder	die Veränderung	sprememba
0169	VP	change channel	cambia canale	byta kanal	Kanalwechsel	srememba kanala
0170	VP	change diaper	cambiare pannolini	byta blöjor	Windel wechseln	sprememba plenic
0171	Cl	changed my mind	ho cambiato idea	jag har ändrat mig	meine Meinung ändern	premislil sem si
0172	V2	check	controllare	kontrollera	prüfen	preveriti
0173	CN	cheek	guancia	kind	die Wange	lice
0174	Interj	cheers	cin-cin	skål	Prost	razveseliti
0175	CN	cheese cracker	salatino al formaggio	ostkex	Käse Cracker	sir cracker (keks)
0176	CNM	cheese cream	crema di formaggio	mjukost	Käsecreme	sveži sir
0177	CNM	cheese	formaggio	ost	der Käse	sir
0178	CN	cheese snack	stuzzichini al formaggio	ostbågar	Käse Snack	sir prigrizek
0179	CN	chemistry class	lezione di chimica	kemilektion	Chemie Unterricht	poučevanje kemije
0180	CNM	chest pain	dolore al petto	bröstsmärtor	Brustschmerzen	bolečina v prsnem košu
0181	CN	chest	petto	bröst	die Brust	prsi,prsni koš
0182	CN	chicken croquette	crocchette di pollo	kycklingkrokett	Hänchen Kroketten	piščančji kroket
0183	CN	chicken fillet	petto di pollo	kycklingfilÃ©	Hänchenfilet	piščančji file
0184	CN	chicken fillet sandwich	panino al pollo	kycklingsmörgås	Hänchenfilet Sandwich	piščančji file sendvič
0185	CN	chicken fry	pollo fritto	stekt kyckling	Hänchen braten	ocvrti piščanec
0186	CN	chicken leg	coscia di pollo	kycklinglår	Hühnerbein	piščančje bedro
0187	CN	chicken pieces	pollo a pezzi	kycklingbröst	Hänchenteile	piščančji kosi
0188	CN	chicken	pollo	kyckling	das Huhn	piščanec
0189	CN	chin	mento	haka	das Kinn	brada
0190	CNM	chocolate	cioccolata	choklad	die Schokolade	čokolada
0191	CN	chocolate cookie	biscotto al cioccolato	chokladkex	Schokoladenplätzchen	čokoladni piškot
0192	CNPL	chocolate drop	gocce di cioccolato	chokladkarameller	Schokoladentropfen	čokoladne drobtinice
0193	CNT	Christmas day	giorno di  natale	juldagen	Weihnachtstag	božični dan
0194	CN	Christmas tree	albero di natale	julgran	Weihnachtsbaum	Božična jelka
0195	CNP	church	chiesa	kyrka	die Kirche	cerkev
0196	CNP	church courtyard	sagrato	kyrkogård	Kirchplatz	cerkveno dvorišče
0197	CNP	circus	circo	cirkus	Zirkuszelt	cirkuški šotor
0198	CNH	citizen	cittadino	medborgare	Bürger	državljan
0199	CNP	city	città	stad	die Stadt	mesto
0200	CN	class	classe	klass	die Klasse	razred
0201	CNM	classical music	musica classica	klassisk musik	klassische Musik	klasična glasba
0202	NP	clean hands	mani pulite	rena händer	saubere Hände	čiste roke
0203	NP	clean house	casa pulita	rent hus	sauberes Haus	čista hiša
0204	CN	clean	oggetti pulizia	städredskap	sauber	čist
0205	V2	clean	pulire	städa	rein	čediti
0206	AP	clean	pulito	ren	klar	počistiti
0207	CN	clean	pulizia	rengöring, städning	glatt	čistiti 
0208	VP	clean room	pulire la stanza	städa rummet	sauberes Zimmer*	čista soba
0209	VP	clean the bath	pulire il bagno	städa badrummet	Bad reinigen	očistiti kopalno kad
0210	VP	clean the kitchen	pulire la cucina	städa köket	die Küche sauber machen	očistiti kuhinjo
0211	VP	clean the table	pulire il tavolo	torka bordet	den Tisch wischen	počistiti mizo
0212	VP	clear the table	sparecchiare	duka av bordet	klarer Tisch*	čista miza
0213	VP	close	chiudere documento	stänga dokument	schliessen	zapreti
0214	V2	close	chiudere	stänga	nah	blizu
0215	VP	close eyes	chiudere gli occhi	blunda	Augen schliessen	zapreti oči
0216	CNP	closet	armadio	skåp	der Schrank	omara
0217	VP	close the door	chiudere la porta	stänga dörren	die Tür schliessen	zapreti vrata
0218	VP	close the window	chiudere la finestra	stänga fönstret	das Fenster schliessn	zapreti okno
0219	CNPL	clothes	abbigliamento	klädsel	die Kleidung	blago
0220	CNPL	clothes	vestiario	kläder	die Bekleidung	oblačila
0221	CNPL	clothes	vestiti	kläder	die Kleider	oblačila
0222	CNP	clothing store	negozio d'abbigliamento	klädaffär	das Bekleidungsgeschäft	trgovina z oblačili
0223	AP	cloudy	nuvoloso	molnigt	bewölkt	oblačno
0224	CN	coach door	porta dell'autobus	bussdörr	Trainer Tür	vrata vozila
0225	CNCONJ	coat and gloves	cappotto e guanti	rock och handskar	Mantel und Handschuhe	plašč in rokavice	DUPLICATE 0226
0226	CN	coat	cappotto	rock	der Mantel	plašč
0227	CNM	coffee	caffè	kaffe	der Kaffee	kava
0228	CN	cold drink	bevanda ghiacciata	kall dryck	kaltes Getränk	hladna pijača
0229	AP	cold	freddo	kall	kalt	hladno
0230	AP	cold	infreddolito	förkyld	kühl	mrzlo
0231	CNM	cold	raffreddore	förkylning	ruhig	hladen
0232	CNM	cold tea	té freddo	iste	kalter Tee	hladen čaj
0233	CN	comb	pettine	kam	Kamm	glavnik
0233	CN	brush	spazzola	borste	Bürste	krtača
0234	VP	come back home	torniamo a casa	vi åker hem*	nach hause zurück kommen	priti nazaj domov
0235	Imp	come here	vieni qui	kom hit	komm her	pridi sem
0236	V	come	venire	komma	kommen	priti
0237	CN	community	municipio	samhälle	die Gemeinschaft	skupnost
0238	CN	company	compania	sällskap	die Firma	podjetje
0239	CN	computer	computer	dator	der Computer	računalnik
0240	CNP	concert	concerto	konsert	das Konzert	koncert
0241	CNP	conference	conferenze	möte	die Konferenz	konferenca
0242	CN	control	controllo	kontroll	kontrollieren*	nadzor
0243	VP	cook	cucinare	laga mat	der Koch*	kuhar
0244	VP	cook	cucinare	laga mat	der Cook*	kuharica	DUPLICATE 0243
0245	CNH	cook	cuoco	kock	kochen*	kuhati
0246	CN	cooking book	libro da cucina	kokbok	Kochbuch	knjiga za kuhanje
0247	CN	cooking spoon	cucchiaio di legno	träslev	Kochlöffel	žlica za kuhanje
0248	CN	copybook	quaderno	övningsbok	das Schönschreibheft	bilježnica
0249	CN	cordless telephone	telefono senza fili	bärbar telefon	Schnurlostelefon	brezžični telefon
0250	CNP	corner	angolo	hörn	die Ecke	kotiček
0251	CNP	corridor	corridoio	korridor	der Korridor,der Flur	koridor,hodnik
0252	CNM	cottage cheese	ricotta	keso	der Hüttenkäse	skuta
0253	CN	cotton floc	cotton fioc	bomullspinne	Baumwolle floc	vatirana palčka
0254	CNM	cotton flock	batuffoli di cotone	bomull 	Baumwollflocken	bombažne kroglice
0255	VV?	could not	non potrei	jag kan inte*	konnte nicht	ne bi
0256	NP	country	campagna	landsbygden	das Land	država
0257	CNM	country music	musica country	countrymusik	Countrymusik	country glazba
0258	CNP	country	paese	land	der Staat	država, dežela
0259	CNP	course	corso	kurs	der Kurs	smer
0260	CNM	cream	panna	grädde	die Creme	krema
0261	CN	credit card	carta di credito	kreditkort	die Kreditkarte	kreditna kartica
0262	CN	cucumber	cetriolo	gurka	die Gurke	kumara
0263	CNP	cupboard	pensile da cucina	köksskåp	der Schrank	omara
0264	CN	cup	tazza	kopp	die Tasse	skodelica
0265	CNP	customs	dogana	tull	der Zoll	carina
0266	VP	cut nails	tagliare le unghie	klippa naglarna	Nägel schneiden	rezati nohte
0267	V2	cut	tagliare	klippa	schneiden	rez
0268	CN	appointment	appuntamento	möte*	das Datum	datum	DUPLICATE 0030
0269	CN	date	data	datum	der Termin*	dogovorjen sestanek
0270	CNH	daughter	figlia	dotter	die Tochter	hčerka
0271	CNT	day	giorno	dag	der Tag	dan
0272	Month	December	Dicembre	december	der Dezember	december
0273	VS	declare	dichiarare	uttala	erklären	izjaviti
0274	VP	decorate pie	decorare la torta	dekorera tårtan	Kuchen dekorieren	okrasiti sladico
0275	CN	degree	laurea	examen	der Grad	stopnja
0276	AP	delicious	delizioso	läcker	köstlich	slasten
0277	CNM	deodorant	deodorante	deodorant	das Deodorant	deodorant
0278	CNP	department store	grande magazzino	varuhus	das Kaufhaus	veleblagovnica
0279	CN	desk	scrivania	skrivbord	der Schreibtisch	pisalna miza
0280	CNM	detergent	detergente	tvättmedel	das Waschmittel	pralno sredstvo
0281	CN	dictionary	dizionario	ordbok	das Wörterbuch	slovar
0282	AP	digital	digitale	digital	digital	digitalni
0283	CN	dinner	cena	middag	das Abendessen	večerja
0284	NP	dinner time	ora di cena	middagsdags	Essenzeit	čas za večerjo
0285	CN	direction	direzione	riktning	die Richtung	smer
0286	NP	dirty hands	mani sporche	smutsiga händer	schmutzige Hände	umazane roke
0287	AP	dirty	sporco	smutsig	schmutzig	umazan
0288	CN	disgrace	disgrazia	olycka	die Schande	sramota
0289	CN	disgust	schifo	avsky	der Ekel	gnus
0290	CNM	dishes detersive	detersivo piatti	diskmedel	waschaktive Gerichte	detergent za pomivanje posode
0291	CN	dishwasher	lavapiatti	diskmaskin	die Geschierspüler	pomivalni stroj
0292	CN	divorce	divorzio	skilsmässa	die Scheidung	ločitev
0293	CNH	doctor	dottore	doktor	der Arzt	zdravnik
0294	CNH	doctor	medico	läkare	der Doktor	raven izobrazbe
0295	CNM	dog food	cibo per cani	hundmat	Hundefutter	pasja hrana
0296	Imp	do not cross	non attraversare	gå inte över	überquere nicht	ne prečkaj (cesto)
0297	VP	don't like	non piacere	inte tycka om	nicht mögen	ne maram
0298	Imp	don't look	non guardare	titta inte	nicht schauen	ne glej
0299	VP	don't speak	non parlante	icketalande	nicht sprechen	ne govori
0300	VP	don't care	non mi interessa	intresserar mig inte	egal	me ne zanima
0301	VP	don't want	non volere	inte vilja	nicht wollen	ne želim
0302	CNP	donut shop,bakery	panetteria	bageri	donut shop	prodajalna krofov
0303	VP	do the shopping	fare la spesa	handla	den Einkauf machen	narediti nakup
0304	Det	a dozen	dozzina	dussin	da Dutzend*	ducat
0305	CN	drawer	cassetto	låda	die Schublade	predal
0306	CN	dress	vestito	klänning	das Kleid	obleka
0307	CNM	dried fruit	frutta secca	torkad frukt	Trockenfrüchte	suho sadje
0308	V2	drink	bere	dricka	das Getränk*	pijača
0308	V	drink	bere	dricka	das Getränk*	pijača
0309	CN	drink	bibita	dryck	der Drink	piti
0310	V2	drive	guidare	köra	fahren	voziti
0310	V	drive	guidare	köra	fahren	voziti
0311	CNH	driver	pilota	chaufför	der Fahrer	voznik 
0312	CN	dryer	asciugatrice	torktumlare	der Trockner	sušilec las
0313	VP	dry face	asciugare il viso	torka ansiktet	trockene Gesicht	suh obraz
0314	VP	dry hands	asciugare le mani	torka händerna	trockene Hände	suhe roke
0315	NP	dry pants	pantaloni asciutti	torra byxor	trockene Hosen	suhe hlače
0316	V2	earn	guadagnare	tjäna	verdienen	zaslužiti
0317	CN	Easter egg	uova di pasqua	påskägg	Ostereier	velikonočna jajca
0318	CN	easy chair	poltrona comoda	bekväm fåtölj	der Sessel	ležalnik
0319	V2	eat	mangiare	äta	essen	jesti
0319	V	eat	mangiare	äta	essen	jesti
0032	AP	economic	economico	ekonomisk	wirtschaftlich	ekonomičen
0321	NP	eggs on toast	uova sul toast	äggsmörgås	Eier auf Toast	jajca v opečenem kruhu 
0322	NP	eggs on toast	uova sul toast	äggsmörgås	Eier auf Toast	jajca na toastu	DUPLICATE 0321
0323	Numeral	eight	otto	åtta	acht	osem
0324	CN	elbow	gomito	armbåge	der Ellbogen	komolec
0325	AP	electric	elettrica*	elektrisk	elektrisch	električen
0326	CN	email	email	e-post	die email	E-naslov
0327	CN	emery board	limetta per unghie	nagelfil	Nagelfeile	pilica za nohte
0328	CNH	employee	impegnato	anställd	 der Arbeitnehmer	zaposleni (nameščenec)
0329	CNH	employee	impiegato	anställd	der Beschäftigte	zaposlena (nameščenka)
0330	VP	empty trash can	svuotare sacco dell'immondizia	tömma soppåsen	leere Mülleimer*	prazen koš za smeti
0331	VP	end a walk	terminare una passeggiata	avsluta en promenad	Ende einen Spaziergang*	končati sprehod
0332	CN	end	fine	slut	das Ende	konec
0333	NP	end of the sentence	fine della frase	slutet på meningen	Ende des Satzes	konec stavka
0334	NP	end of the word	fine della parola	slutet på ordet	Ende des Wortes	konec besede
0335	CNT	evening	sera	kväll	der Abend	večer
0336	CN	exam	esame	examen*	die Prüfung	izpit
0337	AP	excellent	eccellente	utmärkt	ausgezeichnet	odličen
0338	Prep	except	salve	utom	ausser	razen
0339	CNM	exchange	cambio	växel	der Austausch	zamenjava
0340	Interj	excuse me	scusa	förlåt mig	Entschuldigen Sie	oprostite
0341	VP	exit	andare via da	gå ifrån	der Ausgang*	izhod
0342	VP	exit	uscire	gå ut	die Ausfahrt*	oditi (ven)
0343	CNP	exit	uscita	utgång	die Abfahrt	odhajanje
0344	CN	eye	occhio	öga	das Auge	oko
0345	CN	eye socket	orbita	ögonhåla	die Augenhöhle	očnica
0346	CN	face	volto	ansikte	das Gesicht	obraz
0347	CN	facial hair	barba	skägg	Gesichtsbehaarung	obrazna dlaka
0348	VP	facial make up	truccare la faccia	sminka sig	Geschts Make Up*	ličila za obraz
0349	CNP	factory	fabbrica	fabrik	die Fabrik	tovarna
0350	V	fall	cadere	falla	der Herbst*	jesen
0351	CNH	family	famiglia	familj	die Familie	družina
0352	AP	fantastic	fantastico	fantastisk	fantastisch	fantastičen
0353	CNH	farmer	contadino	lantbrukare	der Farmer	kmet
0354	CNM	fashion	moda	mode	die Mode	moda
0355	VP	fast	digiunare	fasta	schnell*	hiter
0356	CN	fast	digiuno	fasta	rasant*	post
0357	CNM	fast food	fast food	snabbmat	das Fastfood	hitra prehrana
0358	CNT	fasting day	giorno del digiuno	fastedag	Fasten Tag	dan posta
0359	Adv	fast	presto	snabbt	sicher*	hitro
0361	AP	fat	grasso	tjock	fett	maščoba
0362	CNH	father	padre	far	der Vater	oče
0363	CNH	father	papà	pappa	der Vater	ata
0364	NP	father's day	festa del papà	Fars Dag	Vatertag	Dan očetov
0365	Month	February	Febbraio	februari	der Februar	februar
0366	V2	feel	io sento	jag känner, jag tycker	fühlen	občutiti
0366	VS	feel	io sento	jag känner, jag tycker	fühlen	občutiti
0367	V2	feel	sentire	känna, tycka	spüren	občutek
0367	VS	feel	sentire	känna, tycka	spüren	občutek
0368	CN	fee	tariffa	avgift	die Gebühr	pristojbina, članarina
0369	AP	female	femmina	kvinnlig	weiblich	ženski
0370	CNH	female friend	amica	väninna	Freundin	prijateljica
0371	Det	few	pochi	få	wenige	nekaj
0372	Det	little	poco	få*	wenige	malo
0373	CN	field trip	gita	utflykt	Ausflug	ekskurzija
0374	CN	file	file	fil	die Datei	mapa
0375	CN	file	lima	fil	der Ordner	pila
0376	VP	file nail	limarsi le unghie	fila naglarna	Nagel feilen	pilica za nohte
0377	CN	finger	dito	finger	der Finger	prst
0378	CN	first course	primi	förrätt	der erster Gang	prva jed
0379	NP	fish and chips	pesce e patatine	fisk och pommes frites	Fish and Chips	riba in ocvrt krompir
0380	V2	fish	pescare	fiska	der Fisch*	riba 
0380	V	fish	pescare	fiska	der Fisch*	riba 
0381	CN	fish	pesce	fisk	fischen*	ribariti
0382	CNM	fish soup	zuppa di pesce	fisksoppa	die Fischsuppe	ribja juha
0383	CN	fish stick	bastoncini pesce	fiskpinnar	Fischstäbchen	ribje palčke
0384	CN	fish tank	acquario	akvarium	Aquarium	akvarij
0385	CN	fish tank	vasca per pesci	fiskskål	Aquarium	ribnik
0386	Numeral	five	cinque	fem	fünf	pet
0387	CNM	flat bread	schiacciatina	knäckebröd	Fladenbrot	tanki kruh, mlinec
0388	CN	flight	volo	flyg	der Flug	let
0389	CNP	floor	pavimento	golv	der Boden	nadstropje
0390	CN	flower in plant	pianta da vaso	blommande krukväxt	Blume in der Anlage	roža v lončku
0391	VP	flush the toilet	tirare lo sciacquone	spola på toaletten	blinken die Toilette	spiranje stranišča
0392	VP	fold dresses	piegare i vestiti	vika kläder	falten Kleider	zložene, prepognjene obleke
0393	CNM	food	cibo	mat	das Essen	hrana 
0394	CN	football	pallone da rugby	fotboll	der Fussball	nogomet
0395	CN	foot	piede	fot	der Fuss	stopalo
0396	V2	forget	dimenticare	glömma	vergessen	pozabiti
0396	V	forget	dimenticare	glömma	vergessen	pozabiti
0397	CN	fork	forchetta	gaffel	die Gabel	vilica
0398	CNM	free time	tempo libero	fritid	Freizeit	prosti čas
0399	CN	freezed dinner	cena congelata	djupfryst middag	Tiefkühlgericht	zamrznjena večerja
0400	Weekday	Friday	venerdÃ¬	fredag	der Freitag	petek
0401	CN	fridge	frigorifero	kylskåp	der Kühlschrank	hladilnik
0402	PrepP	from	da	från	von	iz, od
0403	CN	fruit	frutta	frukt	die Frucht	sadje
0404	CN	fruit tree	albero da frutta	fruktträd	Obstbaum	sadno drevo
